Altitude,Pression,Temperature,Densite
29.171,2.5470e+02,114.10,6.2060e-02
28.870,2.5920e+02,111.80,6.4440e-02
28.570,2.6380e+02,109.00,6.7250e-02
28.273,2.6840e+02,112.50,6.6300e-02
27.977,2.7290e+02,113.80,6.6660e-02
27.683,2.7760e+02,112.70,6.8410e-02
27.391,2.8220e+02,113.20,6.9280e-02
27.100,2.8690e+02,116.70,6.8290e-02
26.811,2.9150e+02,117.20,6.9120e-02
26.523,2.9620e+02,116.30,7.0780e-02
26.236,3.0090e+02,117.80,7.0950e-02
25.951,3.0560e+02,120.40,7.0550e-02
25.667,3.1030e+02,120.20,7.1750e-02
25.385,3.1510e+02,119.70,7.3120e-02
25.104,3.1990e+02,119.90,7.4110e-02
24.824,3.2470e+02,120.20,7.5060e-02
24.545,3.2960e+02,120.30,7.6120e-02
24.268,3.3460e+02,120.60,7.7100e-02
23.992,3.3960e+02,121.30,7.7810e-02
23.718,3.4450e+02,121.90,7.8510e-02
23.445,3.4950e+02,122.70,7.9190e-02
17.2910,0.46809,130,0.10004
16.8100,0.47937,131,0.10167
16.3290,0.49084,132,0.10331
15.8490,0.50247,133,0.10496
15.3690,0.51429,134,0.00000
14.8900,0.52629,135,0.10831
14.4100,0.53846,136,0.11000
13.9310,0.55082,137,0.11170
13.4520,0.56337,138,0.11342
12.9730,0.57611,139,0.11514
12.4950,0.58903,140,0.11689
12.0160,0.60215,141,0.11864
11.5380,0.61546,142,0.12041
11.0600,0.62896,143,0.12219
10.5810,0.64266,144,0.12398
10.1040,0.65655,145,0.12579
9.6250,0.67066,146,0.12761
9.1470,0.68496,147,0.12944
8.6690,0.69947,148,0.13129
8.1910,0.71419,149,0.13315
7.7130,0.72911,150,0.13503
7.2350,0.74425,151,0.13692
6.7570,0.75960,152,0.13882
6.2780,0.77517,153,0.14074
5.8000,0.79096,154,0.14267
5.3210,0.80696,155,0.14462
4.8430,0.82319,156,0.14658
4.3640,0.83964,157,0.14856
3.8850,0.85632,158,0.15055
3.4060,0.87323,159,0.15255
2.9260,0.89037,160,0.15457
2.4470,0.90773,161,0.15661
1.9680,0.92534,162,0.15866
1.4880,0.94318,163,0.16072
1.1980,0.96126,164,0.16280
0.5280,0.97958,165,0.16490
0.0480,0.99814,166,0.16701
0.0000,1.00000,166,0.17105
-0.4340,1.01700,167,0.16915
-0.9130,1.03600,168,0.17128
-1.3940,1.05530,169,0.17343
-1.8760,1.07490,170,0.17562
-2.3570,1.09470,171,0.17780
-2.8390,1.11480,172,0.18001
-3.3200,1.13510,173,0.18223
-3.8030,1.15570,174,0.18447
-4.2860,1.17660,175,0.18673
-4.7680,1.19770,176,0.18900
-5.2510,1.21910,177,0.19128
-5.7350,1.24080,178,0.19359
-6.2180,1.26270,179,0.19591
-6.7030,1.28500,180,0.19826
-7.1880,1.30750,181,0.20061
-7.6700,1.33020,182,0.20297
-8.1560,1.35330,183,0.20537
-8.6420,1.37670,184,0.20778
-9.1260,1.40030,185,0.21020
-9.6120,1.42420,186,0.21263
-10.0990,1.44850,187,0.21510
-10.5850,1.47300,188,0.21757
-11.0710,1.49780,189,0.22006
-11.5580,1.52290,190,0.22257
-12.0450,1.54830,191,0.22509
-12.5340,1.57410,192,0.22765
-13.0210,1.60010,193,0.23021
-13.5100,1.62650,194,0.23280
-13.9970,1.65310,195,0.23539
-14.4870,1.68010,196,0.23801
-14.9760,1.70740,197,0.24065
-15.4650,1.73500,198,0.24330
-15.9540,1.76290,199,0.24597
-16.4450,1.79120,200,0.24866
-16.9360,1.81980,201,0.25137
-17.4260,1.84870,202,0.25410
-17.9180,1.87800,203,0.25685
-18.4080,1.90750,204,0.25960
-18.9010,1.93750,205,0.26239
-19.3920,1.96770,206,0.26519
-19.8840,1.99830,207,0.26801
-20.3770,2.02930,208,0.27085
-20.8700,2.06060,209,0.27371
-21.3640,2.09230,210,0.27659
-21.8570,2.12430,211,0.27949
-22.3520,2.15670,212,0.28241
-22.8460,2.18940,213,0.28534
-23.3400,2.22250,214,0.28830
-23.8340,2.25590,215,0.29127
-24.3290,2.28970,216,0.29426
-24.8250,2.32390,217,0.29727
-25.3210,2.35850,218,0.30031
-25.8170,2.39340,219,0.30336
-26.3130,2.42870,220,0.30643
-26.8100,2.46440,221,0.30952
-27.3070,2.50050,222,0.31263
-27.8030,2.53690,223,0.31576
-28.3000,2.57370,224,0.31890
-28.7990,2.61100,225,0.32208
-29.2970,2.64860,226,0.32527
-29.7950,2.68660,227,0.32848
-30.2930,2.72500,228,0.33171
-30.7930,2.76390,229,0.33497
-31.2920,2.80310,230,0.33824
-31.7910,2.84270,231,0.34153
-32.2920,2.88280,232,0.34484
-32.7910,2.92320,233,0.34817
-33.2920,2.96410,234,0.35153
